name,version,platform,vdpx,framework_version,python_version,min_vam_version
cac.wide_bank,1.1.11,linux_x86_64,cac.wide_bank-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
cac.wide_bank,1.1.11,win_amd64,cac.wide_bank-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
calamp.vanguard,1.1.9,win_amd64,calamp.vanguard-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
calamp.vanguard,1.1.9,linux_x86_64,calamp.vanguard-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
cc.bas,1.1.11,linux_x86_64,cc.bas-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
cc.bas,1.1.11,win_amd64,cc.bas-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
checkpoint.gaia,1.1.12,linux_x86_64,checkpoint.gaia-1.1.12-linux_x86_64._vdpx,2.7.5,3.9,1.38
checkpoint.gaia,1.1.12,win_amd64,checkpoint.gaia-1.1.12-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.asa,1.1.19,linux_x86_64,cisco.asa-1.1.19-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.asa,1.1.19,win_amd64,cisco.asa-1.1.19-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.fmc,1.1.10,win_amd64,cisco.fmc-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.fmc,1.1.10,linux_x86_64,cisco.fmc-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.fmc_rest,1.1.6,linux_x86_64,cisco.fmc_rest-1.1.6-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.fmc_rest,1.1.6,win_amd64,cisco.fmc_rest-1.1.6-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.ftd,1.1.14,win_amd64,cisco.ftd-1.1.14-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.ftd,1.1.14,linux_x86_64,cisco.ftd-1.1.14-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.ios,1.1.31,win_amd64,cisco.ios-1.1.31-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.ios,1.1.31,linux_x86_64,cisco.ios-1.1.31-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.ip_phone,1.1.11,win_amd64,cisco.ip_phone-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.ip_phone,1.1.11,linux_x86_64,cisco.ip_phone-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.nxos,1.1.14,win_amd64,cisco.nxos-1.1.14-win_amd64._vdpx,2.7.5,3.9,1.38
cisco.nxos,1.1.14,linux_x86_64,cisco.nxos-1.1.14-linux_x86_64._vdpx,2.7.5,3.9,1.38
cisco.ucs,1.1.4,win_amd64,cisco.ucs-1.1.4-win_amd64._vdpx,2.7.5,3.9,1.38
