DriverName,Hostname,MACAddressVendor,TCPListeningPorts
,,"[""VMware, Inc""]",
,,"[""VMware, Inc""]","[135, 139, 403, 445, 1332, 2221, 3060, 3389, 4241, 4244, 4245, 4255, 5241, 5670, 5698, 5699, 5985, 6543, 7111, 7147, 7153, 9111, 12315, 22350, 22352, 27000, 30064, 44818, 47001, 49664, 49665, 49666, 53573, 54967, 58946, 58947, 58957, 59016, 65028, 65029, 65030, 65035]"
"""palo_alto_networks.panos""","""fw-pcn-wapiti-1315-admin-01""","[""Palo Alto Networks""]",
"""snmp.generic""","""idrac-3TGVQN3""","[""Dell Inc""]",
"""juniper_networks.junos""","""ESW-1141-2""","[""Xerox Corporation"", ""Juniper Networks""]",
"""ethernetip""",,"[""Caterpillar, Inc""]",
"""emerson.roc.roc800""",,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Vacon Plc""]",
,,"[""FreeWave Technologies""]",
,,"[""FreeWave Technologies""]",
,,"[""Caterpillar, Inc""]",
"""snmp.generic""","""idrac-J8KNWM3""","[""Dell Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]","[53, 88, 135, 139, 389, 445, 464, 593, 636, 3268, 3269, 3389, 5985, 9389, 12388, 12389, 12390, 12391, 12392, 12636, 13268, 13269, 47001, 49664, 49665, 51054, 51055, 51057, 51061, 51071, 51072, 51075, 51076, 51854, 51874, 51904, 59765]"
"""onvif.generic""","""Hikvision""","[""Hangzhou Hikvision Digital Technology Co., Ltd""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Westronic Systems Inc""]",
"""onvif.generic""","""Hikvision""","[""Hangzhou Hikvision Digital Technology Co., Ltd""]",
,,"[""Advantech Technology (CHINA) Co., Ltd""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]",
"""cisco.ios""",,"[""Cisco Systems, Inc""]","[22, 443]"
"""snmp.generic""","""ESW-3100-1.ot.tourmalineoil.com""","[""Cisco Systems, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Bristol Babcock, Inc""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 445, 1332, 2221, 3060, 3389, 4241, 4245, 4255, 5040, 5241, 5698, 5699, 6543, 7153, 8082, 8141, 9111, 12315, 22350, 22352, 27000, 30064, 44818, 49475, 49664, 49665, 49666, 50825, 50826, 50862, 50881, 50885, 51410, 51975, 54967, 64393]"
"""ethernetip""",,"[""Rockwell Automation""]",
,"""MG-MB3170_8493""","[""Moxa Technologies Corp, Ltd""]",
,,"[""NetApp""]",
,,"[""Caterpillar, Inc""]",
"""snmp.generic""","""sw-pcn-sundance-1507-mcc3-01.ot.tourmalineoil.com""","[""Cisco Systems, Inc""]",
,,"[""Advantech Technology (CHINA) Co., Ltd""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""NetApp""]",
"""emerson.fb3000""",,"[""Bristol Babcock, Inc""]",
"""onvif.generic""","""Hikvision""","[""Hangzhou Hikvision Digital Technology Co., Ltd""]",
"""red_lion.ntron""","""COM-190""","[""Red Lion Controls, LP""]","[80, 44818]"
,,"[""VMware, Inc""]",
"""schneider.scadapack""",,"[""Control Microsystems""]",
,,"[""Schneider Electric Japan Holdings Ltd""]",
"""juniper_networks.junos""","""sw-pcn-aitken-c38c-mcc-04""","[""Xerox Corporation"", ""Juniper Networks""]",
,,"[""Intel Corporate""]",
"""emerson.roc.roc800""",,"[""Spectra - Tek""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Dell Inc""]",
"""snmp.generic""","""idrac-2TGVQN3""","[""Dell Inc""]",
,,"[""VMware, Inc""]",
