DriverName,Hostname,MACAddressVendor,TCPListeningPorts
,,"[""Dell Inc""]","[135, 139, 443, 445, 2886, 3142, 3389, 3424, 5040, 6624, 6625, 6628, 8333, 9753, 10000, 10001, 10002, 10003, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49685, 51357, 52080, 52088, 62507, 63177, 63434]"
,,"[""Dell Inc""]","[135, 139, 445, 705, 706, 709, 750, 751, 1947, 2000, 3389, 5666, 6660, 6780, 7770, 8005, 8006, 8007, 8880, 12489, 18585, 18586, 18702, 18703, 47001, 50000, 50001, 50002, 50003, 50004, 50054, 50086, 50100, 50108, 50177, 50661, 51001, 52012, 54915, 55808, 57080, 58010, 58080, 59944, 60251, 65100, 65200]"
"""siemens.s7""",,"[""Siemens AG""]",
,,"[""Fisher-Rosemount Systems Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Dell Inc""]","[80, 135, 139, 445, 515, 1801, 2103, 2105, 2107, 2179, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49684, 62575]"
"""hirschmann.railswitch.snmp""",,"[""Hirschmann Automation and Control GmbH""]",
"""dell.idrac""","""iDRAC-GLXW9D3""","[""Dell Inc""]",
,,"[""Bently Nevada Corp""]",
"""emerson.deltav_controller""","""MD-2021""","[""Fisher Controls""]",
,,"[""Broadcom""]","[135, 139, 445, 623, 1947, 8081, 16992, 18585, 18703, 24158, 50000, 50001, 50002, 50003, 50010, 50017, 50018, 52012, 58010, 58080]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 808, 1801, 2103, 2105, 2107, 3142, 3389, 4840, 5693, 5739, 5985, 7983, 8005, 8009, 8080, 8333, 8732, 8983, 9758, 12001, 12352, 17777, 47001, 49664, 49665, 49666, 49667, 49669, 49672, 49692, 49696, 49706, 50070, 55027, 63510]"
,,"[""Dell Inc""]","[135, 139, 445, 3389, 49152, 49153, 49154, 49155, 49156, 49157, 49158, 49159]"
"""emerson.deltav_controller""","""CTRL-27_2""","[""Fisher-Rosemount Systems Inc""]",
"""cisco.ios""","""SWT-LAB-04""","[""Cisco Systems, Inc""]","[22, 80, 443, 21111]"
,,"[""Dell Inc"", ""Xerox Corporation""]","[135, 139, 427, 445, 2463, 8081, 8819, 9000, 20109, 20110, 20171, 20183, 20501, 20502, 20503, 20504, 20505, 20506, 34383, 34417, 34418, 34420, 34497, 34498]"
,,"[""Intel Corporate"", ""Dell Inc""]","[135, 139, 445, 502, 1947, 3389, 4840, 4855, 4856, 5040, 5354, 5700, 5800, 5900, 8884, 9012, 9443, 13000, 14000, 14003, 32000, 32256, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49676, 49769]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 1521, 2030, 3142, 3389, 5693, 5985, 8333, 19090, 19092, 20031, 20032, 47001, 49664, 49665, 49666, 49668, 49669, 49671, 49692, 49693, 49698, 49702]"
,,"[""Microsoft Corporation""]","[53, 80, 88, 135, 139, 389, 443, 445, 464, 593, 636, 980, 1947, 3268, 3269, 3389, 5000, 6780, 8009, 8012, 8339, 9300, 9301, 9310, 9389, 17889, 18500, 18501, 18585, 18586, 33182, 33183, 47001, 49905, 50432, 50433, 50444, 50447, 50448, 50449, 50475, 50812, 51001, 51044, 52012, 54915, 55114, 55115, 55808, 57349, 57415, 57439, 63233, 63234, 63365, 63593, 64233, 65005, 65006, 2000, 6660, 7770, 8880]"
,,"[""Hirschmann Automation and Control GmbH""]",
,,"[""Transmitton Ltd""]",
,,"[""VMware, Inc""]","[135, 139, 445, 3142, 3389, 5693, 5985, 8333, 8338, 8339, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49704, 49710, 52311]"
,,"[""VMware, Inc""]",
,,"[""VMware, Inc""]","[80, 111, 135, 139, 443, 445, 1801, 2103, 2105, 2107, 3142, 3389, 4840, 5693, 5985, 8005, 8009, 8080, 8333, 9758, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49670, 49676, 60114, 60124]"
,,"[""Intel Corporate"", ""DFI Inc""]","[80, 135, 139, 445, 808, 1433, 1434, 3142, 3389, 5693, 5985, 8084, 8085, 8086, 8087, 8091, 8092, 8098, 8333, 47001, 49152, 49153, 49154, 49155, 49156, 49158, 49159]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 3142, 3389, 5693, 5985, 7777, 8333, 12345, 12346, 12347, 12348, 12350, 13001, 20031, 20032, 28002, 30002, 47001, 49664, 49665, 49666, 49668, 49669, 49670, 49696, 56527, 57520, 57695, 57789, 57797, 57812, 57841, 57857, 57865, 57875, 57882, 57891, 57900, 57908, 57931, 57940, 61200, 62356, 62551, 62552, 63510, 63511]"
"""dell.idrac""","""6GV05L3""","[""Dell Inc""]",
,,"[""Fisher-Rosemount Systems Inc""]",
,,"[""VMware, Inc""]","[135, 139, 445, 3142, 3387, 3389, 5693, 5985, 8333, 47001, 49664, 49665, 49666, 49668, 49669, 56865, 56869, 56875, 56883]"
"""emerson.deltav_controller""","""CIOC-A600-650-02""","[""Fisher-Rosemount Systems Inc""]",
,,"[""VMware, Inc""]","[80, 135, 139, 443, 445, 3142, 3389, 5693, 5985, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49668, 49670, 49690, 49691, 49698]"
,,"[""VMware, Inc""]",
,,"[""Dell Inc"", ""Broadcom Limited""]","[80, 135, 139, 443, 445, 1311, 3389, 5985, 8081, 8339, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49680, 52311]"
,,"[""VMware, Inc""]","[135, 139, 445, 3142, 3389, 5985, 8081, 47001, 49664, 49665, 49666, 49668, 49669, 49671, 49672, 49694, 49701]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 808, 1801, 2031, 2049, 2103, 2105, 2107, 3142, 3389, 4840, 5693, 5985, 7777, 8333, 8732, 9758, 10013, 10014, 17777, 20014, 20031, 20032, 47001, 47654, 47655, 47656, 47657, 47658, 48622, 49664, 49665, 49666, 49667, 49669, 49670, 49671, 49673, 49695, 49725, 49755, 49782, 51518, 52007, 52561, 57542, 61924, 61927, 61930, 61933, 62000, 62023, 62056, 62551, 62552, 63510, 63511, 63844]"
"""dell.idrac""","""idrac-1HHZV94""","[""Dell Inc""]",
,,"[""VMware, Inc""]","[80, 135, 139, 445, 1947, 3142, 3389, 5693, 5985, 8080, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49670, 49681, 49696, 49697, 57867]"
,,"[""VMware, Inc""]","[80, 135, 139, 445, 3142, 3389, 5693, 5985, 6001, 8080, 8090, 8092, 8093, 8094, 8095, 8096, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671]"
,,"[""VMware, Inc""]",
"""palo_alto_networks.panos""","""PVC1FWRNG01""","[""Palo Alto Networks""]",
,,"[""Siemens AG""]",
,,"[""Broadcom""]",
,,"[""Dell Inc"", ""Xerox Corporation""]","[135, 139, 445, 1433, 1434, 2382, 3389, 5001, 5985, 20501, 20502, 20503, 20504, 20505, 20506, 20507, 34383, 34402, 34403, 34404, 34417, 34418, 34431, 34432, 34505, 34506, 34589, 42420, 47001, 49688, 49689, 49744, 52101]"
"""cisco.ios""","""SWT-190-07""","[""Cisco Systems, Inc""]","[22, 80, 443, 4786, 27193, 60435]"
,,"[""Cisco Systems, Inc""]",
,,"[""VMware, Inc""]","[80, 135, 139, 443, 445, 800, 1433, 3142, 3389, 5693, 5985, 8333, 47001, 49664, 49665, 49666, 49668, 49670, 49705, 49707, 49717, 52227]"
,,"[""VMware, Inc""]","[135, 139, 445, 3142, 3389, 5693, 5985, 8333, 47001, 49664, 49665, 49666, 49668, 49669, 49689, 49702]"
,,"[""Xerox Corporation"", ""Dell Inc""]","[111, 135, 139, 445, 3389, 4840, 7777, 20109, 20111, 20153, 20171, 20174, 34205, 34383, 34474, 47001, 48004, 48005, 48006, 48007, 49152, 49153, 49154, 49157, 49181, 49209, 49210, 52101, 52601, 60060, 60061, 60062, 60063, 62551, 62552]"
,,"[""VMware, Inc""]","[135, 139, 445, 2343, 3142, 3389, 3580, 3582, 5693, 5985, 8002, 8080, 8333, 20031, 20032, 28002, 30002, 47001, 49664, 49665, 49666, 49667, 49669, 49695, 49700, 52645, 59110, 59111, 59994]"
,,"[""Dell Inc""]",
"""cisco.asa""","""PE4FWR01""","[""Cisco Systems, Inc""]",[22]
,,"[""ipcas GmbH""]",
,,"[""Shanghai High-Flying Electronics Technology Co., Ltd""]",
,,"[""VMware, Inc""]",
,,"[""Dell Inc""]","[135, 139, 445, 1947, 8081, 18585, 24158, 50432, 50433, 50436, 50438, 50439, 50440, 50483, 52012, 58010, 58080]"
"""snmp.generic""","""idrac-2QQV9B2""","[""Dell Inc""]",
,,"[""Dell Inc""]","[53, 88, 111, 135, 139, 389, 445, 464, 593, 636, 705, 706, 709, 750, 751, 1947, 3268, 3269, 4840, 5985, 7777, 8081, 9389, 9536, 18585, 33035, 33036, 33037, 33038, 47001, 50236, 50309, 50432, 50433, 50434, 50440, 50443, 50444, 50445, 50450, 50925, 50940, 51001, 52012, 52601, 54915, 55808, 57225, 58010, 58080, 62551, 62552]"
"""cisco.ios""","""SW_Rockwell""","[""Cisco Systems, Inc""]","[22, 80, 443]"
,,"[""Dell Inc"", ""Xerox Corporation""]","[111, 135, 139, 445, 3389, 4840, 5357, 5666, 7777, 8081, 8443, 12489, 20109, 20111, 20171, 24158, 34205, 34335, 34336, 34337, 34338, 34383, 34497, 34498, 49664, 49665, 49666, 49669, 49672, 49676, 49724, 49789, 49791, 50219, 50220, 50221, 50222, 50223, 50224, 50225, 50226, 50227, 50228, 50229, 50230, 50231, 50232, 50233, 50234, 50235, 50236, 50237, 50238, 50239, 50240, 50241, 50242, 52101, 60060, 60061, 60062, 60063, 60090, 60091, 60092, 60093, 62551, 62552]"
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""ipcas GmbH""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Dell Inc""]",
"""dell.idrac""","""iDRAC-3LCB7Z2""","[""Dell Inc""]",
,,"[""Bently Nevada Corp""]",
"""emerson.deltav_controller""","""MD-2019""","[""Fisher Controls""]",
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 3142, 3389, 4840, 5693, 5985, 7777, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670]"
,,"[""Fisher-Rosemount Systems Inc""]",
"""palo_alto_networks.panos""","""PP5TMFWRNG01""","[""Palo Alto Networks""]",
,,"[""Allied Telesis, Inc"", ""Hewlett Packard""]","[135, 445, 919, 5551, 5559, 6000, 6552, 6553, 6560, 6850, 10001, 49152, 49153, 49154, 49155, 49157, 49166, 49170]"
,,"[""Hewlett Packard Enterprise"", ""Allied Telesis, Inc""]","[80, 135, 139, 443, 445, 1434, 3389, 8081, 8443, 8444, 9000, 49664, 49665, 49668, 49670, 49687, 49692, 49705, 49724]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""cisco.ios""","""Q3SWAUT16""","[""Cisco Systems, Inc""]",
,,"[""Allied Telesis, Inc"", ""Hewlett Packard""]","[135, 445, 919, 5551, 5559, 6000, 6552, 6553, 6560, 10001, 49152, 49153, 49154, 49156, 49163, 64969]"
"""emerson.deltav_controller""","""ESD1-1""","[""Fisher Controls""]",
,,"[""Lantronix""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]","[80, 135, 139, 443, 445, 1432, 3389, 5693, 5985, 8333, 8443, 8444, 9000, 47001, 49664, 49665, 49666, 49667, 49668, 49694, 49696, 49706, 64827]"
"""palo_alto_networks.panos""","""UNIB2FWRNG01A""","[""Palo Alto Networks""]",
"""palo_alto_networks.panos""","""UNIB2FWRNG01A""","[""Palo Alto Networks""]",
,,"[""Dell Inc""]","[80, 135, 139, 445, 515, 1801, 2103, 2105, 2107, 2179, 5985, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49679, 62575]"
"""emerson.deltav_controller""","""CIOC-TEMP-04""","[""Fisher-Rosemount Systems Inc""]",
,,"[""ipcas GmbH""]",
,,"[""Siemens AG""]",
"""cisco.ios""","""Q3SWAUT06""","[""Cisco Systems, Inc""]","[22, 4786]"
,,"[""ipcas GmbH""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Intel Corporate""]",
,,"[""ABB Oy / Medium Voltage Products""]",
,,"[""Microsoft Corporation""]","[135, 139, 445, 980, 1947, 3389, 5000, 8081, 17889, 18585, 49675, 50432, 50433, 50434, 50444, 50445, 50509, 50524, 50636, 51001, 52012, 54915, 55114, 55115, 55808, 58010, 58080]"
,,"[""Dell Inc""]","[80, 135, 139, 443, 445, 1311, 3142, 3389, 5357, 5985, 7780, 8081, 8443, 8444, 9000, 9851, 9876, 9877, 30443, 43234, 47001, 51456, 51457, 51460, 51461, 51494, 51504, 51524, 51533, 51633, 54887, 54888]"
"""siemens.s7""",,"[""Siemens AG""]",
,,"[""Dell Inc""]","[135, 139, 445, 2886, 3142, 3389, 3424, 5040, 5693, 6624, 6625, 6628, 8084, 8090, 8333, 27000, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671, 49734, 52080, 52088]"
"""ethernetip""",,,
,,"[""ipcas GmbH""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]",
,,"[""Cisco Systems, Inc""]",
,,"[""VMware, Inc""]","[80, 111, 135, 139, 443, 445, 808, 1801, 2103, 2105, 2107, 3142, 3389, 4840, 5693, 5985, 7983, 8005, 8009, 8080, 8333, 8732, 8983, 9758, 12001, 12352, 17777, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49670, 50070, 63510, 64131, 64133, 64139, 64170, 64905]"
,,"[""VMware, Inc""]",
"""dell.idrac""","""idrac-DPH1BZ2""","[""Dell Inc""]",
"""vmware.esxi""","""PP5VMW01""","[""Broadcom Limited""]",
,,"[""MYNAH Technologies""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]",
,,"[""Dell Inc""]","[135, 139, 445, 1311, 1947, 3389, 5357, 6780, 18585, 18586, 47001, 49158, 49159, 50000, 50001, 50002, 50003, 50041, 50064, 52012, 53151, 57080, 58010, 58080]"
,,"[""ABB Oy / Medium Voltage Products""]",
,,"[""VMware, Inc""]","[80, 111, 135, 139, 443, 445, 3142, 3389, 4840, 5693, 5985, 7777, 8005, 8009, 8080, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49700, 49709, 56100]"
,,"[""ipcas GmbH""]",
,,"[""Dell Inc""]","[135, 139, 383, 445, 1311, 2463, 3142, 3343, 3389, 5601, 5693, 8333, 20031, 20032, 47001, 49152, 49153, 49154, 49156, 49157, 49187, 49212, 49217, 49223, 49233, 49240, 49255]"
,,"[""Pronet GmbH""]",
,,"[""Dell Inc"", ""Xerox Corporation""]","[135, 139, 427, 445, 2463, 3389, 8819, 9000, 20109, 20110, 20171, 20183, 34383, 34417, 34418, 34419, 34420, 34497, 34498, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49673, 49679, 52101]"
"""emerson.deltav_controller""","""CI-01""","[""Fisher-Rosemount Systems Inc""]",
,,"[""Microsoft Corporation""]","[135, 139, 445, 980, 1947, 3389, 5000, 17889, 18585, 49675, 50432, 50433, 50434, 50444, 50445, 50524, 50620, 52012, 55115, 58010, 58080, 58873, 59985, 64815]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 3142, 3389, 5693, 5985, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 52338, 65358, 65372]"
"""moxa.dsc""","""CONV-95040""","[""Moxa Technologies Corp, Ltd""]",
,,"[""VMware, Inc""]",
,,"[""Fisher-Rosemount Systems Inc""]",
,,"[""Dell Inc"", ""Broadcom Limited""]","[135, 139, 403, 445, 1332, 2221, 2424, 3060, 3389, 4241, 4245, 4255, 5241, 5698, 5699, 5700, 5985, 6543, 7004, 7153, 8082, 9099, 9111, 12315, 22350, 22352, 27000, 30064, 44818, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49689, 49724, 49736, 51904, 52692, 52836, 53616, 54967, 61618]"
,,"[""Universal Global Scientific Industrial., Ltd""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Moxa Technologies Corp, Ltd""]",
,,"[""VMware, Inc""]","[80, 135, 139, 443, 445, 808, 1010, 1433, 1434, 2909, 2910, 3142, 3389, 3456, 5017, 5985, 6000, 8082, 20222, 22479, 22480, 40007, 40200, 40209, 40211, 40213, 40214, 40215, 40217, 40218, 40219, 40220, 40225, 40226, 40227, 40228, 40251, 40252, 40253, 40254, 40255, 40261, 40300, 45000, 47001, 49664, 49665, 49666, 49667, 49668, 49824, 49939, 49999, 50000, 50001, 50002, 50003, 50004, 53545, 55550, 55553, 55554, 55555, 55556, 55557, 55559, 55563, 55571, 55572, 55573, 55574, 55575, 55576, 55577, 55593, 55594, 55608, 61076, 61077, 61078, 61079, 62317, 64381]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""emerson.deltav_controller""","""CTRL-A500-550""","[""Fisher-Rosemount Systems Inc""]",
"""emerson.deltav_controller""","""CTRL-1000""","[""Fisher-Rosemount Systems Inc""]",
"""cisco.ios""","""251-SWT-0001""","[""Cisco Systems, Inc""]",
"""cisco.ios""",,,
,,"[""VMware, Inc""]","[80, 135, 139, 445, 3142, 3389, 5666, 5693, 5985, 8333, 8443, 12489, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49673, 51486, 53158, 53190, 64709, 64743]"
"""dell.idrac""","""idrac-PP5VMW01""","[""Dell Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""vmware.esxi""","""DCXVMW03""","[""VMware, Inc"", ""Dell Inc""]",
,,"[""Digital Logic GmbH""]",
,,"[""Microsoft Corporation""]","[135, 139, 445, 980, 1947, 3389, 5000, 8081, 17889, 18585, 49675, 50432, 50433, 50434, 50443, 50444, 50512, 50580, 50581, 51001, 52012, 54915, 55115, 55808, 58010, 58080]"
,,"[""VMware, Inc""]","[135, 139, 445, 1433, 1434, 3142, 3389, 5693, 5985, 8333, 20031, 20032, 28002, 30002, 40341, 40342, 40343, 40344, 47001, 49664, 49665, 49666, 49667, 49670, 49702, 49751, 49793, 58670]"
,,"[""Lantronix""]",
,,"[""ipcas GmbH""]",
,,"[""Schneider Electric""]",
,,"[""Fisher-Rosemount Systems Inc""]",
,,"[""Dell Inc""]","[80, 135, 139, 445, 515, 1801, 2103, 2105, 2107, 2179, 3389, 5985, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49697, 62575]"
,,"[""Moxa Technologies Corp, Ltd""]",
,,"[""JUMP INDUSTRIELLE COMPUTERTECHNIK GmbH""]",
,,"[""Dell Inc""]","[80, 135, 139, 445, 515, 1801, 2103, 2105, 2107, 2179, 5985, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49697, 62575]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 3142, 3389, 4840, 5693, 5985, 7777, 7983, 8005, 8009, 8080, 8333, 8983, 12001, 12345, 12346, 12347, 12348, 12350, 12352, 13001, 20031, 20032, 47001, 49664, 49665, 49668, 49669, 49671, 49672, 49697, 49730, 49776, 51162, 51167, 51170, 51171, 51175, 51178, 51180, 51195, 51214, 51223, 51252, 51444, 51639, 51725, 51741, 51761, 51770, 51778, 51792, 51803, 51816, 51825, 51840, 51852, 51862, 51883, 51894, 51907, 58741, 61200, 62551, 62552, 63510, 63511]"
,,"[""Hewlett Packard""]",
"""emerson.deltav_controller""","""AQUENTE_3""","[""Fisher-Rosemount Systems Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""emerson.deltav_controller""","""CTRL-26""","[""Fisher-Rosemount Systems Inc""]",
"""emerson.deltav_controller""","""MD-2013""","[""Fisher Controls""]",
