DriverName,Hostname,MACAddressVendor,TCPListeningPorts
,,"[""Moxa Technologies Corp, Ltd""]",
,,"[""Dell Inc"", ""Xerox Corporation""]","[135, 139, 427, 445, 2463, 8081, 8819, 9000, 20109, 20110, 20171, 20183, 20501, 20502, 20503, 20504, 20505, 20506, 34383, 34417, 34418, 34420, 34497, 34498]"
,,"[""Agilent Technologies, Inc""]",
,,"[""Dell Inc""]","[80, 135, 139, 445, 3142, 3389, 5040, 8004, 8333, 8339, 8884, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671, 49672]"
,,"[""ipcas GmbH""]",
,,"[""VMware, Inc""]","[135, 139, 445, 3142, 3389, 5693, 5985, 8333, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 52101]"
,,"[""VMware, Inc""]","[80, 135, 139, 445, 1521, 1801, 2030, 2103, 2105, 2107, 3142, 3389, 5693, 5985, 8333, 19099, 20031, 20032, 47001, 49152, 49153, 49154, 49155, 49156, 49157, 49182, 49201, 49203]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 3142, 3389, 4840, 5693, 5985, 7777, 8333, 8732, 12345, 12346, 12347, 12348, 12350, 13001, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49670, 49672, 49724, 50070, 54097, 55154, 61200, 61903, 62552, 63510]"
,,"[""VMware, Inc""]",
,,"[""Dell Inc""]","[135, 139, 445, 3142, 3389, 5040, 5693, 8333, 49664, 49665, 49666, 49667, 49668, 53015]"
,,"[""Schenck Process GmbH""]",
,,"[""Dell Inc"", ""Xerox Corporation""]","[135, 139, 445, 3389, 5357, 5985, 8819, 20109, 20110, 20111, 20153, 20171, 20174, 20183, 20501, 20502, 20503, 20505, 20506, 20507, 20508, 34383, 34417, 34418, 34420, 34472, 34473, 34476, 34477, 34478, 34497, 34498, 47001]"
,,"[""Transmitton Ltd""]",
,,"[""Microsoft Corporation""]","[135, 139, 445, 980, 1947, 3389, 5000, 17889, 18585, 49675, 50432, 50433, 50434, 50444, 50445, 50542, 50684, 51001, 52012, 54915, 55114, 55115, 55808, 55921, 58010, 58080, 65351]"
"""vmware.esxi""","""PP1VMW01""","[""VMware, Inc"", ""Dell Inc""]",
"""siemens.s7""",,"[""Siemens AG""]",
,,"[""TP-Link Systems Inc"", ""Dell Inc""]","[135, 139, 445, 3142, 3389, 5040, 5666, 8333, 8443, 8884, 12489, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671, 49672]"
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]",
,,"[""VMware, Inc""]","[135, 139, 445, 3142, 3389, 5985, 7196, 8081, 47001, 49664, 49665, 49666, 49668, 49669, 49670, 49676, 49694, 49702]"
"""siemens.s7""",,"[""Siemens AG""]",
,,"[""Schenck Process GmbH""]",
,,"[""Xerox Corporation"", ""Dell Inc""]","[135, 139, 427, 445, 2463, 8081, 8819, 9000, 20109, 20110, 20171, 20183, 20501, 20502, 20503, 20504, 20505, 20506, 34383, 34417, 34418, 34420, 34497, 34498]"
"""cisco.ios""","""SWT-ENS-001""","[""Cisco Systems, Inc""]","[22, 80, 443, 4786]"
,,"[""Nokia Siemens Networks GmbH & Co. KG""]",
"""emerson.deltav_controller""","""LCR1CTLR1""","[""Fisher-Rosemount Systems Inc""]",
,,"[""VMware, Inc""]","[80, 111, 135, 139, 443, 445, 3142, 3389, 4840, 5693, 5985, 7777, 7983, 8005, 8009, 8080, 8333, 8732, 8983, 10014, 12001, 12345, 12346, 12347, 12348, 12350, 12351, 12352, 13001, 20014, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49670, 50050, 50051, 50052, 50070, 52007, 59404, 59407, 59410, 59415, 59419, 61200, 61903, 62552, 63500, 63510, 63591, 63602, 63628, 63631, 63671, 64913]"
"""hirschmann.railswitch.ssh_telnet""",,"[""Hirschmann Automation and Control GmbH""]",
"""snmp.generic""",,,
,,"[""Schneider Electric""]",
,,"[""VMware, Inc""]","[80, 135, 139, 443, 445, 3142, 3389, 5693, 5985, 8333, 41001, 41002, 47001, 49664, 49665, 49666, 49667, 49694, 49701, 49726, 61623, 61624]"
"""bently_nevada.bn_3500""",,"[""Bently Nevada Corp""]",
,,"[""Transmitton Ltd""]",
"""emerson.deltav_controller""","""BF_903""","[""Fisher-Rosemount Systems Inc""]",
,,"[""Yokogawa Digital Computer Corporation""]",
"""emerson.deltav_controller""","""WIOC-A600-A650-1""","[""Fisher-Rosemount Systems Inc""]",
,,"[""VMware, Inc""]",
,,"[""Dell Inc"", ""Xerox Corporation"", ""Yokogawa Digital Computer Corporation""]","[135, 139, 445, 3389, 5985, 8081, 8819, 20109, 20110, 20171, 20183, 20501, 20502, 20503, 20504, 20505, 20506, 20507, 20508, 20509, 34383, 34417, 34418, 34420, 34473, 34476, 34477, 34478, 34497, 34498, 47001]"
,,"[""VMware, Inc""]","[135, 139, 445, 3142, 3389, 5666, 5693, 5985, 8333, 12489, 20031, 20032, 47001, 49664, 49665, 49667, 49669, 49670, 60417, 60420, 60423]"
"""cisco.ios""","""PE2-AUT-SW01""","[""Cisco Systems, Inc""]","[22, 80, 443]"
,,"[""Dell Inc"", ""Xerox Corporation""]","[80, 111, 135, 139, 445, 3389, 4840, 5357, 5985, 7777, 8732, 20109, 20111, 20171, 34205, 34383, 34498, 47001, 47625, 47626, 47627, 47628, 49664, 49665, 49666, 49667, 49668, 49669, 49673, 49674, 49679, 49682, 49712, 49771, 50385, 52007, 52101, 62551, 62552, 63510, 63511]"
,,"[""Hewlett Packard""]",
"""vmware.esxi""","""Q3VMW01""","[""VMware, Inc"", ""Dell Inc""]",
"""honeywell.experion_pks""",,"[""Honeywell""]",
,,"[""Advantech Co., Ltd""]",
"""ethernetip""",,,
,,"[""ipcas GmbH""]",
,,"[""ipcas GmbH""]",
,,,"[135, 139, 445, 3050, 3142, 3389, 5693, 8333, 20031, 20032, 47001, 49152, 49153, 49154, 49155, 49156, 62702]"
,,"[""Microsoft Corporation""]","[53, 80, 88, 111, 135, 139, 389, 443, 445, 464, 593, 636, 980, 1947, 3268, 3269, 3389, 7777, 9389, 18585, 47001, 47625, 47626, 47627, 50351, 50432, 50433, 50445, 50447, 50448, 50449, 50475, 51001, 52012, 52337, 52697, 52726, 52762, 54915, 55114, 55808, 56968, 56979, 58010, 58080, 60871, 62551, 62552, 63497]"
"""siemens.s7""",,"[""Siemens AG""]",
"""hirschmann.railswitch.ssh_telnet""",,"[""Hirschmann Automation and Control GmbH""]",
"""dell.idrac""",,,
,,"[""Fisher-Rosemount Systems Inc""]",
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 808, 1801, 2103, 2105, 2107, 3142, 3389, 4840, 5693, 5985, 7777, 8333, 8732, 9758, 12345, 12346, 12347, 12348, 12350, 17777, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49696, 49701, 49705, 49708, 49710, 49720, 49735, 49736, 49742, 49750, 60050, 60051, 60052, 60053, 60054, 60055, 60056, 60057, 61200, 61903, 62001, 62551, 62552, 63510, 63511, 65232, 65272]"
,,"[""VMware, Inc""]",
,,"[""Fisher-Rosemount Systems Inc""]",
,,"[""Dell Inc""]","[135, 139, 445, 3389, 5985, 10410, 10411, 10412, 10413, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671]"
,,"[""VMware, Inc""]","[80, 111, 135, 139, 445, 2030, 3142, 3389, 5693, 5985, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670]"
,,"[""Intel Corporate"", ""Dell Inc""]","[135, 139, 445, 3142, 3389, 5693, 5985, 8333, 20031, 20032, 47001, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671, 49672]"
"""ethernetip""",,,
,,"[""VMware, Inc""]",
